idx,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,class
0,-90.00,5.79,33.51,4.53,-90.00,32.05,-9.53,25.99,30.54,-4.08,51.32,10.77,-15.81,41.08,35.87,-16.53,10.15,90.00,
1,-90.00,1.77,33.79,4.69,-90.00,51.96,-7.60,21.50,40.50,-2.05,46.84,21.26,-13.88,30.89,52.60,-14.33,2.28,90.00,
2,-90.00,1.60,33.48,4.40,-90.00,47.88,-7.18,21.45,40.37,-1.97,46.36,21.92,-13.83,30.12,53.52,-14.39,1.45,90.00,
3,-90.00,2.10,33.59,3.54,-90.00,42.48,-7.79,21.51,39.80,-2.55,46.60,21.70,-14.35,30.48,53.03,-14.90,1.93,90.00,
4,-90.00,0.43,34.00,6.60,-90.00,52.40,-7.15,20.38,42.75,-1.53,45.69,23.14,-12.83,30.37,52.52,-13.43,0.95,90.00,
5,-90.00,1.82,32.32,1.20,-90.00,56.68,-5.73,29.87,23.92,0.79,50.25,5.79,-10.74,41.58,30.19,-12.60,12.24,90.00,
6,-90.00,0.84,33.38,2.39,-90.00,57.81,-15.29,21.78,36.05,-4.42,48.44,22.55,-11.79,36.87,40.33,-2.48,21.40,60.54,
7,-90.00,-0.86,34.20,3.71,-90.00,56.41,-12.73,23.26,35.14,0.49,48.77,11.57,-10.13,37.82,37.04,-3.68,17.01,69.49,
8,-90.00,-0.28,33.53,6.50,-90.00,52.82,-6.86,22.15,38.82,0.82,48.12,12.37,-10.81,37.79,36.99,-7.26,19.70,67.14,
9,-90.00,1.63,32.10,8.30,-90.00,54.91,-10.30,21.11,39.21,-1.87,48.94,14.00,-13.28,38.15,38.49,-10.22,19.74,69.03,
10,-90.00,3.59,24.09,11.45,-90.00,52.45,-16.95,12.80,52.01,-5.45,47.15,25.33,-15.82,35.34,46.98,-14.04,19.00,75.19,
11,-90.00,2.61,26.30,9.78,-90.00,54.11,-15.47,12.87,50.30,-4.96,45.59,26.14,-14.71,35.11,45.78,-12.62,20.44,70.87,
12,-90.00,3.61,28.69,4.42,-90.00,51.03,-15.93,13.36,49.38,-6.06,45.10,27.49,-15.84,34.34,47.40,-12.01,18.49,73.35,
13,-90.00,2.59,28.76,6.77,-90.00,53.74,-15.23,13.71,48.96,-5.46,45.34,26.31,-15.18,34.73,46.33,-11.92,18.98,72.55,
14,-90.00,-1.35,29.33,7.27,-70.53,90.00,-11.39,12.29,52.79,-1.62,43.40,26.73,-11.37,32.46,46.72,-9.23,14.39,77.15,
15,-90.00,-4.11,30.17,15.66,-90.00,33.25,-6.87,17.24,48.80,1.95,44.37,23.31,-8.29,32.90,45.01,-6.17,13.93,77.38,
16,-90.00,-1.32,30.28,0.18,-90.00,7.48,-10.65,13.10,52.24,-1.28,43.92,25.74,-11.21,32.90,46.46,-8.68,14.89,77.07,
17,-90.00,-2.40,29.90,11.01,-90.00,62.03,-9.37,14.38,51.77,-0.07,44.03,25.09,-10.25,32.47,46.74,-8.27,14.41,77.33,
18,-90.00,-2.46,30.18,10.59,-90.00,62.37,-9.30,14.62,51.55,0.06,44.20,24.85,-10.07,32.81,46.30,-7.89,14.71,77.60,
19,-90.00,1.70,34.35,3.87,-90.00,58.88,-13.83,22.49,30.04,-4.12,45.59,14.55,-11.86,38.73,32.00,-7.92,16.39,70.69,
20,-90.00,3.48,34.52,3.26,-90.00,55.67,-14.28,21.36,35.93,-5.65,48.90,18.39,-14.12,39.19,37.25,-9.42,18.06,71.36,
21,-90.00,7.51,38.45,-3.62,-68.34,49.14,-22.32,14.73,40.98,-9.75,46.91,26.05,-19.78,26.49,63.80,-14.97,-2.39,90.00,
22,-90.00,3.00,38.69,0.07,-85.42,53.27,-17.41,10.37,53.94,-7.62,41.63,35.19,-15.03,26.68,61.59,-5.92,17.83,69.21,
23,-90.00,5.65,33.48,-0.01,-90.00,48.72,-20.93,9.33,53.56,-10.84,44.12,33.34,-18.85,25.35,66.71,-13.20,16.35,79.80,
24,-90.00,-2.84,34.89,0.50,-52.19,90.00,-12.88,9.53,57.15,-1.87,37.39,37.05,-10.19,19.03,69.29,-7.70,3.99,90.00,
25,-90.00,-4.71,45.24,-3.14,-42.78,82.53,-4.69,16.69,48.73,4.09,42.42,22.38,-6.04,26.75,50.95,-0.50,9.30,72.42,
26,-90.00,-5.48,51.15,-4.84,-41.98,75.64,-3.37,26.24,37.43,5.60,50.07,6.51,-4.57,37.15,37.86,3.57,17.07,63.05,
27,-90.00,0.62,22.09,7.01,-90.00,62.67,-21.15,-5.50,75.17,-12.07,34.00,47.33,-20.12,14.57,90.00,-19.81,1.43,90.00,
28,-90.00,13.80,20.14,6.75,-90.00,51.08,-37.06,0.42,45.75,-25.18,42.35,35.88,-36.25,20.75,83.77,-32.82,10.64,90.00,
29,-90.00,19.81,37.05,-7.71,-61.01,43.57,-36.84,13.11,26.22,-27.10,50.83,20.02,-35.66,32.64,57.66,-26.04,21.86,74.39,
30,-90.00,0.96,31.86,3.82,-41.90,90.00,-5.57,-90.00,49.32,-22.97,-90.00,30.47,-17.52,-90.00,31.59,-7.56,-90.00,22.89,
31,-90.00,2.82,31.11,3.45,-46.61,90.00,-6.54,-90.00,47.04,-24.29,-90.00,29.88,-30.12,-90.00,25.52,-22.61,-90.00,19.96,
32,-90.00,4.96,26.13,5.00,-48.62,90.00,-8.45,-90.00,46.08,-27.10,-90.00,28.48,-29.65,-90.00,22.05,-26.34,-90.00,12.33,
33,-90.00,2.78,27.01,6.58,-46.28,90.00,-9.11,-90.00,45.35,-28.20,-90.00,24.90,-28.89,-90.00,26.62,-24.09,-90.00,17.86,
34,-90.00,6.67,27.30,0.53,-67.90,69.16,-10.70,-90.00,43.26,-30.29,-90.00,24.08,-30.75,-90.00,27.26,-26.81,-90.00,18.70,
35,-90.00,7.15,31.06,18.47,-52.47,90.00,-9.53,-90.00,46.68,-28.28,-90.00,30.94,-28.04,-90.00,32.72,-23.33,-90.00,24.54,
36,-90.00,7.89,33.97,12.79,-49.22,90.00,-9.43,-90.00,52.45,-27.66,-90.00,34.51,-26.60,-90.00,35.89,-21.61,-90.00,27.74,
37,-90.00,11.62,45.00,3.77,-49.28,90.00,-10.01,-75.20,65.92,-25.93,-64.27,47.31,-22.17,-90.00,51.55,-16.39,-76.40,43.07,
38,-90.00,13.16,40.26,6.42,-54.11,90.00,-14.70,-90.00,62.75,-31.41,-67.73,45.76,-27.89,-90.00,49.90,-21.34,-84.85,40.91,
39,-90.00,-2.70,33.65,15.01,-35.95,90.00,0.19,-90.00,51.54,-17.33,-90.00,31.53,-17.15,-90.00,30.38,-12.45,-90.00,21.57,
40,-90.00,9.58,36.68,8.01,-48.61,90.00,-12.67,-90.00,60.62,-29.86,-90.00,40.66,-28.06,-90.00,42.35,-21.94,-90.00,32.61,
41,-90.00,7.70,30.41,12.76,-53.15,90.00,-12.36,-90.00,49.97,-31.54,-90.00,32.25,-32.39,-90.00,31.66,-27.33,-90.00,22.11,
42,-90.00,-0.73,39.06,7.03,-39.94,90.00,0.04,-90.00,57.42,-17.01,-90.00,35.34,-15.85,-90.00,33.52,-11.52,-90.00,25.30,
43,-90.00,-16.67,41.77,7.98,-21.97,90.00,16.99,-90.00,56.63,-0.43,-90.00,31.44,-0.84,-90.00,24.58,3.63,-90.00,17.20,
44,-90.00,4.21,32.68,9.72,-44.99,90.00,-7.35,-90.00,51.74,-27.95,-90.00,27.62,-30.01,-90.00,25.37,-23.10,-90.00,17.86,
45,-90.00,1.82,27.24,14.81,-51.45,90.00,-5.39,-90.00,37.58,-26.59,-90.00,16.31,-31.43,-90.00,16.90,-26.31,-90.00,12.41,
46,-90.00,16.59,40.66,0.03,-67.81,77.68,-22.31,-86.60,67.89,-40.91,-64.51,49.20,-36.34,-90.00,55.00,-28.86,-80.41,44.23,
47,-90.00,4.04,30.58,9.48,-59.55,90.00,-3.25,-90.00,39.15,-23.25,-90.00,30.33,-24.86,-90.00,30.58,-19.50,-90.00,23.91,
48,-90.00,0.16,31.18,11.14,-45.21,90.00,0.55,-90.00,33.39,-19.62,-90.00,21.96,-21.12,-90.00,25.06,-16.44,-90.00,19.63,
49,-90.00,22.03,39.98,-0.49,-63.64,67.46,-21.41,-90.00,50.32,-43.08,-69.44,39.06,-38.50,-90.00,51.23,-30.71,-75.89,43.69,
50,-90.00,9.49,32.51,10.45,-53.66,90.00,-8.57,-90.00,37.96,-29.54,-90.00,23.86,-32.80,-90.00,27.66,-27.24,-90.00,22.21,
51,-90.00,-1.11,31.97,13.32,-48.01,90.00,-2.12,-90.00,35.05,-21.94,-90.00,22.67,-23.75,-90.00,26.10,-18.15,-90.00,20.93,
52,-90.00,-3.58,34.94,8.12,-44.48,90.00,2.78,-90.00,41.26,-16.57,-90.00,25.32,-17.30,-90.00,25.71,-11.17,-90.00,20.15,
53,-90.00,7.47,34.98,5.88,-54.76,90.00,-10.83,-90.00,45.48,-30.97,-90.00,27.60,-30.29,-90.00,32.91,-22.74,-90.00,26.72,
54,-90.00,2.48,46.19,-1.76,-44.08,90.00,3.08,-90.00,90.00,-12.86,-55.65,63.43,-10.18,-65.06,62.06,-3.48,-62.38,48.81,
55,-90.00,5.42,30.35,6.42,-54.67,90.00,-10.31,-90.00,23.45,-33.00,-90.00,9.35,-39.02,-90.00,16.12,-31.33,-90.00,13.22,
56,-90.00,-1.95,24.40,14.59,-55.24,90.00,2.73,-90.00,24.59,-17.76,-90.00,11.12,-20.93,-90.00,13.64,-15.86,-90.00,9.69,
57,-90.00,2.42,31.78,5.22,-52.67,90.00,-4.36,-90.00,35.56,-25.00,-90.00,21.50,-26.03,-90.00,25.35,-20.04,-90.00,18.84,
58,-90.00,7.75,30.58,5.80,-66.85,90.00,-13.10,-90.00,37.41,-35.16,-90.00,20.98,-35.45,-90.00,27.35,-26.59,-90.00,21.22,
59,-90.00,-2.32,35.51,3.59,-55.42,90.00,-0.26,-90.00,42.80,-20.36,-90.00,24.94,-20.19,-90.00,26.12,-13.10,-90.00,19.39,
60,-90.00,-3.75,41.15,-11.55,-42.51,44.17,6.40,-21.81,90.00,-7.47,5.44,90.00,-8.33,-14.40,90.00,-3.68,-22.97,90.00,
61,-90.00,-1.91,39.45,-11.00,-46.79,41.65,5.31,-23.21,90.00,-8.09,7.07,87.29,-11.71,-10.68,90.00,-4.67,-30.52,81.26,
62,-90.00,-3.94,44.32,-11.24,-43.31,43.60,11.44,7.72,65.73,6.14,36.06,32.97,-6.28,21.15,63.09,-5.09,-6.77,90.00,
